id,height,area,date,camera
cq0148.00-1,50,1836,20160718,side1
cq0148.00-3,25,453,20160718,side1
cq0148.00-6,70,397,20160718,side1
cq0150.00-1,43,1057,20160718,side1
cq0150.00-2,29,791,20160718,side1
cq0150.00-3,69,688,20160718,side1
cq0150.00-4,16,55,20160718,side1
cq0150.00-5,58,533,20160718,side1
cq0150.00-6,64,743,20160718,side1
cq0186.00-1,31,467,20160718,side1
cq0186.00-2,27,230,20160718,side1
cq0186.00-4,47,272,20160718,side1
cq0186.00-5,25,120,20160718,side1
cq0186.00-6,12,63,20160718,side1
cq0190.00-1,19,100,20160718,side1
cq0190.00-2,17,124,20160718,side1
cq0190.00-3,41,404,20160718,side1
cq0190.00-4,59,445,20160718,side1
cq0190.00-5,22,452,20160718,side1
cq0190.00-6,29,363,20160718,side1
cq0193.00-2,26,302,20160718,side1
cq0193.00-3,44,680,20160718,side1
cq0193.00-4,24,251,20160718,side1
cq0193.00-5,60,441,20160718,side1
cq0193.00-6,4,20,20160718,side1
cq0205.00-2,86,267,20160718,side1
cq0205.00-3,52,926,20160718,side1
cq0205.00-4,41,162,20160718,side1
cq0205.00-5,18,341,20160718,side1
cq0205.00-6,24,256,20160718,side1
cq0212.00-2,17,75,20160718,side1
cq0216.00-1,66,1361,20160718,side1
cq0216.00-2,65,1075,20160718,side1
cq0216.00-4,70,1342,20160718,side1
cq0216.00-5,59,1179,20160718,side1
cq0218.00-1,65,918,20160718,side1
cq0218.00-2,50,546,20160718,side1
cq0218.00-4,30,325,20160718,side1
cq0218.00-5,26,642,20160718,side1
cq0218.00-6,55,492,20160718,side1
cq0229.00-1,15,108,20160718,side1
cq0229.00-3,55,230,20160718,side1
cq0229.00-4,12,94,20160718,side1
cq0229.00-6,23,214,20160718,side1
cq0230.00-3,71,432,20160718,side1
cq0230.00-5,28,265,20160718,side1
cq0243.00-2,27,261,20160718,side1
cq0243.00-5,17,182,20160718,side1
cq0248.00-1,41,614,20160718,side1
cq0248.00-2,44,567,20160718,side1
cq0248.00-3,32,336,20160718,side1
cq0248.00-4,43,721,20160718,side1
cq0248.00-5,33,503,20160718,side1
cq0252.00-1,52,1480,20160718,side1
cq0252.00-2,65,1201,20160718,side1
cq0252.00-4,42,1517,20160718,side1
cq0252.00-5,10,60,20160718,side1
cq0252.00-6,68,1356,20160718,side1
cq0278.00-1,61,542,20160718,side1
cq0278.00-2,27,181,20160718,side1
cq0278.00-5,8,40,20160718,side1
cq0295.00-2,32,387,20160718,side1
cq0295.00-4,14,106,20160718,side1
cq0295.00-5,25,243,20160718,side1
cq0305.00-1,26,337,20160718,side1
cq0305.00-2,16,152,20160718,side1
cq0305.00-3,11,98,20160718,side1
cq0305.00-4,49,1313,20160718,side1
cq0305.00-5,21,368,20160718,side1
