Genotype,ID,FWbiomass,DWbiomass,SeedNum_EstAll,SeedWT_All_g,SeedNum_Subset,SeedWT_Subset_g,MeanSeedNormArea
NSL91567,cq0049.00-6,-1.992814989,0.030507708,8275.338753,13.88,44,0.0738,0.030196534
Ø654,cq0334.00-1,20.8477494,1.535714266,4112.50996,10.12,51,0.1255,0.038943689
Ø654,cq0334.00-2,15.03621452,0.976221153,4629.054054,11.05,31,0.074,0.035969018
Ø654,cq0334.00-3,25.55948244,1.595069609,5347.313237,13.6,30,0.0763,0.032722406
Ø654,cq0334.00-4,25.92839505,1.963466806,4919.958635,12.52,38,0.0967,0.044765058
Ø654,cq0334.00-5,24.95530657,1.725573039,5783.716475,15.89,38,0.1044,0.040221319
Ø654,cq0334.00-6,16.7991862,1.148235598,5033.045977,11.3,31,0.0696,0.036595745
PI478414,cq0056.00-1,1.43707491,0.160245573,4507.654321,6.52,28,0.0405,0.02046297
PI478414,cq0056.00-2,15.5281224,1.091000755,3015.420561,4.78,27,0.0428,0.022579947
PI478414,cq0056.00-3,3.505341965,0.394338879,4324.346076,7.96,27,0.0497,0.02294784
PI478414,cq0056.00-4,12.22686529,0.933202229,7847.535211,9.69,23,0.0284,0.020810948
PI478414,cq0056.00-5,11.13006471,0.795186514,2098.159509,3.8,27,0.0489,0.020357121
PI478414,cq0056.00-6,7.780196792,0.667260969,4181.818182,6.67,40,0.0638,0.022849101
PI478418,cq0058.00-1,13.49336893,1.103517993,311.5044248,0.66,16,0.0339,0.032551782
PI478418,cq0058.00-2,15.07552569,1.114407735,6867.567568,10.78,33,0.0518,0.018470885
PI478418,cq0058.00-5,11.05365681,0.854258895,10668.4322,18.65,27,0.0472,0.021914401
PI478418,cq0058.00-6,13.81510729,1.100986965,2346.049046,5.74,15,0.0367,0.032617556
PI510538,cq0065.00-2,18.98663661,1.518069418,3872.997033,5.02,26,0.0337,0.021735293
PI510538,cq0065.00-4,8.589249864,0.804278053,6426.229508,8.4,28,0.0366,0.023441903
PI510538,cq0065.00-5,18.27485198,1.308085301,3919.494585,6.58,33,0.0554,0.021744342
PI510538,cq0065.00-6,6.211428127,0.743123721,2171.825397,4.21,26,0.0504,0.033052642
PI510549,cq0074.00-1,18.22277133,1.303050571,2104.712042,3.35,24,0.0382,0.024509901
PI510549,cq0074.00-2,18.42388205,1.479422341,1546.666667,2.32,23,0.0345,0.017289642
PI510549,cq0074.00-3,14.22176137,1.170844845,4811.711712,7.63,21,0.0333,0.023672062
PI510549,cq0074.00-4,11.85095937,0.973763893,2169.174757,3.31,27,0.0412,0.019586564
PI510549,cq0074.00-5,19.86583407,1.617006161,229.8604651,3.53,28,0.43,0.02448499
PI510549,cq0074.00-6,13.24534886,1.065534994,2872.403561,4.84,20,0.0337,0.019850687
PI584524,cq0076.00-1,28.53193867,2.536981387,6597.264957,16.78,23,0.0585,0.039556225
PI584524,cq0076.00-2,24.97121233,1.962449996,8241.071429,18.46,25,0.056,0.031398126
PI584524,cq0076.00-3,31.06341876,2.758914281,6835.581395,17.29,34,0.086,0.038597127
PI584524,cq0076.00-4,37.08650248,2.804866574,7868.620038,16.65,25,0.0529,0.037411295
PI584524,cq0076.00-6,35.72434976,2.77720329,7372.212066,18.33,22,0.0547,0.036528444
PI596498,cq0078.00-1,15.74352139,1.104539874,1812.849162,2.95,33,0.0537,0.025784159
PI596498,cq0078.00-2,6.272970646,0.682414517,2634.453782,3.8,33,0.0476,0.024486924
PI596498,cq0078.00-4,10.51739767,0.827359542,294.2307692,0.51,18,0.0312,0.030439068
PI596498,cq0078.00-6,14.50153962,1.056370828,2841.509434,2.51,30,0.0265,0.020956093
PI614002,cq0079.00-1,18.74642177,1.439161133,5139.235412,7.74,33,0.0497,0.022424311
PI614002,cq0079.00-2,15.53368017,1.299946826,7341.101695,9.9,35,0.0472,0.022547347
PI614002,cq0079.00-3,5.59316579,0.480994795,188.4130982,0.44,17,0.0397,0.040708412
PI614002,cq0079.00-6,13.74024823,0.885475438,4562.84585,5.92,39,0.0506,0.023990781
PI614880,cq0080.00-1,24.96891758,1.822931027,19475.23681,28.22,51,0.0739,0.024917637
PI614880,cq0080.00-2,14.37371295,1.173329764,11811.42857,20.67,34,0.0595,0.0230656
PI614880,cq0080.00-5,24.23580835,1.783188308,15641.37931,24.3,28,0.0435,0.027174392
PI614880,cq0080.00-6,18.53579187,1.542505663,17718.48875,25.63,43,0.0622,0.024894573
PI614881,cq0081.00-2,5.042836832,0.435202439,92.10526316,0.25,14,0.038,0.043997216
PI614881,cq0081.00-5,-0.17105826,0.185393157,1464.760148,4.67,17,0.0542,0.042705566
PI614881,cq0081.00-6,3.228602256,0.438864858,1720.547945,3.14,16,0.0292,0.030713626
PI614882,cq0082.00-1,28.88804452,2.210163676,8431.578947,21.36,24,0.0608,0.039135595
PI614882,cq0082.00-3,28.64485538,1.880700857,10830.18868,22.96,30,0.0636,0.035297849
PI614882,cq0082.00-4,31.02142987,2.366709314,7380.427632,19.51,23,0.0608,0.033084751
PI614882,cq0082.00-5,22.3117291,1.989025243,10564.61538,22.89,24,0.052,0.038947167
PI614882,cq0082.00-6,23.92968997,1.911377283,7652.073733,16.2,41,0.0868,0.038899147
PI614883,cq0083.00-1,5.292288267,0.654320227,4733.898305,9.31,27,0.0531,0.031564822
PI614883,cq0083.00-3,6.52079265,0.811701178,8777.56654,15.39,30,0.0526,0.030190506
PI614883,cq0083.00-6,3.072069636,0.385499218,5786.061588,10.5,34,0.0617,0.031949646
PI614886 - QQ74a,cq0085.00-2,20.20309649,1.643366152,8594.314869,20.33,29,0.0686,0.032605298
PI614886 - QQ74a,cq0085.00-4,21.06660979,1.510910236,8121.122112,22.37,33,0.0909,0.045560338
PI614886 - QQ74a,cq0085.00-6,25.71780793,1.858529658,8266.935484,22.78,36,0.0992,0.045141721
PI614886 - QQ74b,cq0329.00-1,25.60979213,2.298053737,6758.662614,18.53,24,0.0658,0.034498383
PI614886 - QQ74b,cq0329.00-2,26.72198766,2.351104959,7417.293233,19.73,40,0.1064,0.039131285
PI614886 - QQ74b,cq0329.00-3,28.48049479,2.494441281,5968.246445,15.42,49,0.1266,0.039132754
PI614886 - QQ74b,cq0329.00-4,21.60072392,1.806672715,5412.765957,14.84,36,0.0987,0.043309013
PI614886 - QQ74b,cq0329.00-5,28.5499799,2.352455269,4924.55516,12.58,33,0.0843,0.036799508
PI614886 - QQ74b,cq0329.00-6,25.77175203,2.358123247,8932.776801,22.59,45,0.1138,0.041016414
PI614887,cq0086.00-1,27.09402014,2.157443952,4232.418525,9.87,25,0.0583,0.034445159
PI614887,cq0086.00-2,23.37437431,1.76631661,4165.143369,10.81,43,0.1116,0.041601675
PI614887,cq0086.00-5,22.79635366,1.710119892,4966.071429,12.36,27,0.0672,0.043839117
PI614887,cq0086.00-6,9.226666939,0.692587256,6427.56827,13.73,36,0.0769,0.035611454
PI614889,cq0088.00-1,21.53903534,1.737047627,6913.043478,15.9,36,0.0828,0.034426364
PI614889,cq0088.00-2,34.83939725,2.640685113,6933.333333,17.03,32,0.0786,0.034897412
PI614889,cq0088.00-3,24.26980765,1.952624678,6331.550802,17.76,20,0.0561,0.035349349
PI614889,cq0088.00-4,-2.476750171,0.016149247,2263.168517,6.23,36,0.0991,0.038619674
PI614889,cq0088.00-5,22.51985165,1.772771098,4489.867841,12.74,32,0.0908,0.034536027
PI614889,cq0088.00-6,11.28212301,1.088232493,8198.347107,21.7,32,0.0847,0.041545929
PI614904,cq0092.00-3,2.989369938,0.3542178,1238.680466,3.83,25,0.0773,0.04299266
PI614928,cq0113.00-1,-1.376688669,0.150208748,141.5730337,0.28,18,0.0356,0.033630526
PI614928,cq0113.00-2,-0.723477509,0.258739726,703.5343035,1.88,18,0.0481,0.037833781
PI614928,cq0113.00-5,-0.62290061,0.174332791,112,0.21,20,0.0375,0.033841398
PI634924,cq0127.00-2,23.35162365,1.728619823,6821.303258,16.01,34,0.0798,0.036830381
PI634924,cq0127.00-6,28.50892443,2.224776896,6023.622047,15.75,34,0.0889,0.039642079
