number,PC1,PC2,PC3,PC4,Genotype,ID,DaysAtHarvest,SeedWT_All_g,Density,Shape
75,0.633135698,0.738334246,-1.139697541,-0.489015909,G-205-95 DK,cq0336.00-6,140,11.36,2,3
76,2.083125455,1.019661277,0.298569088,-0.130337587,NSL91567,cq0049.00-3,117,10.55,3,3
77,2.28988858,0.641854143,0.137499007,-0.168356391,NSL91567,cq0049.00-6,117,13.88,3,3
78,1.02404857,1.143483879,-1.337618811,0.534348963,ø654,cq0334.00-1,144,10.12,3,3
79,1.081793227,1.037970175,-1.382602347,0.523731099,ø654,cq0334.00-2,144,11.05,3,3
80,1.240125349,0.748658406,-1.505944301,0.494617601,ø654,cq0334.00-3,144,13.6,3,3
81,1.173067039,0.871190449,-1.453705356,0.506948024,ø654,cq0334.00-4,144,12.52,3,3
82,1.382313805,0.488845092,-1.616710212,0.468472537,ø654,cq0334.00-5,144,15.89,3,3
83,1.097315984,1.009606276,-1.394694696,0.520876835,ø654,cq0334.00-6,144,11.3,3,3
84,-1.624636187,-0.165730516,-0.090497325,-0.09047715,PI478414,cq0056.00-1,145,6.52,1,1
85,-1.732674577,0.03168222,-0.00633458,-0.070611469,PI478414,cq0056.00-2,145,4.78,1,1
86,-1.535225106,-0.329106574,-0.160149252,-0.106917714,PI478414,cq0056.00-3,145,7.96,1,1
87,-1.427807627,-0.525384754,-0.243828303,-0.126669225,PI478414,cq0056.00-4,145,9.69,1,1
88,-1.793523784,0.142868704,0.041067426,-0.059422752,PI478414,cq0056.00-5,145,3.8,1,1
89,-1.615322533,-0.182748856,-0.097752734,-0.092189709,PI478414,cq0056.00-6,145,6.67,1,1
90,-0.260655582,1.96898394,-0.990364305,-0.220236227,PI478418,cq0058.00-1,146,0.66,2,3
91,0.444178051,0.815255039,-1.35712281,-0.384649242,PI478418,cq0058.00-2,144,10.78,2,3
92,0.932834445,-0.077640499,-1.737789937,-0.474501491,PI478418,cq0058.00-5,144,18.65,2,3
93,0.131239268,1.387071241,-1.113341066,-0.327107269,PI478418,cq0058.00-6,144,5.74,2,3
94,0.482674489,0.74491257,-1.387111834,-0.391727818,PI478418,cq0058.00-NA1,144,11.4,2,3
95,0.586366506,0.555441725,-1.467888721,-0.410794306,PI478418,cq0058.00-NA2,144,13.07,2,3
96,-1.641300304,-0.001105397,0.104796524,-0.122223949,PI510538,cq0065.00-2,143,5.02,1,1
97,-1.431432628,-0.38458531,-0.058692027,-0.160813606,PI510538,cq0065.00-4,143,8.4,1,1
98,-1.5444383,-0.178096126,0.02934027,-0.14003456,PI510538,cq0065.00-5,143,6.58,1,1
99,-1.691594037,0.090793636,0.143975733,-0.112976132,PI510538,cq0065.00-6,143,4.21,1,1
100,-1.821464747,0.193923722,0.062833653,-0.054285076,PI510549,cq0074.00-1,145,3.35,1,1
101,-1.885418507,0.310782985,0.112654128,-0.042525506,PI510549,cq0074.00-2,145,2.32,1,1
102,-1.555715145,-0.291666227,-0.144187352,-0.103150085,PI510549,cq0074.00-3,145,7.63,1,1
103,-1.823948388,0.198461946,0.064768428,-0.053828393,PI510549,cq0074.00-4,145,3.31,1,1
104,-1.810288362,0.173501714,0.054127162,-0.056340146,PI510549,cq0074.00-5,145,3.53,1,1
105,-1.728949115,0.024874884,-0.009236744,-0.071296492,PI510549,cq0074.00-6,145,4.84,1,1
106,1.047074865,-0.530709101,0.196189265,-0.400030559,PI584524,cq0076.00-1,123,16.78,2,2
107,1.151387793,-0.721314501,0.114928683,-0.419211217,PI584524,cq0076.00-2,123,18.46,2,2
108,1.07874129,-0.588571454,0.171520874,-0.405853259,PI584524,cq0076.00-3,123,17.29,2,2
109,1.039003032,-0.515959873,0.202477286,-0.398546341,PI584524,cq0076.00-4,123,16.65,2,2
110,1.143315959,-0.706565274,0.121216705,-0.417726999,PI584524,cq0076.00-6,123,18.33,2,2
111,-1.846301159,0.23930596,0.08218141,-0.049718252,PI596498,cq0078.00-1,145,2.95,1,1
112,-1.793523784,0.142868704,0.041067426,-0.059422752,PI596498,cq0078.00-2,145,3.8,1,1
113,-1.997803268,0.516137613,0.20020273,-0.02186063,PI596498,cq0078.00-4,145,0.51,1,1
114,-1.873621211,0.289226422,0.103463943,-0.044694747,PI596498,cq0078.00-6,145,2.51,1,1
115,-1.51064892,-0.30692548,-0.088138106,-0.128842155,PI614002,cq0079.00-1,144,7.74,1,1
116,-1.376532298,-0.551989566,-0.192615996,-0.153503,PI614002,cq0079.00-2,144,9.9,1,1
117,-2.00214964,0.524079505,0.203588588,-0.021061436,PI614002,cq0079.00-3,145,0.44,1,1
118,-1.623654591,-0.100436296,-0.00010581,-0.108063109,PI614002,cq0079.00-6,144,5.92,1,1
119,-1.57708632,-0.185527993,-0.036382855,-0.116625902,PI614002,cq0079.00-NA1,144,6.67,1,1
120,-1.727967519,0.090169105,0.081154772,-0.088882451,PI614002,cq0079.00-NA2,144,4.24,1,1
121,2.378246829,-1.575292968,-0.369576399,0.380821242,PI614880,cq0080.00-1,123,28.22,3,2
122,1.947695777,-0.721482358,0.056982402,0.442583839,PI614880,cq0080.00-2,122,20.67,3,2
123,2.17308621,-1.13332617,-0.118598497,0.401139917,PI614880,cq0080.00-5,122,24.3,3,2
124,2.217431065,-1.281442975,-0.24429967,0.410391423,PI614880,cq0080.00-6,123,25.63,3,2
125,2.282987331,-1.334142574,-0.204212324,0.380931724,PI614880,cq0080.00-NA1,122,26.07,3,2
126,-2.013946936,0.545636068,0.212778773,-0.018892195,PI614881,cq0081.00-2,145,0.25,1,1
127,-1.73950459,0.044162335,-0.001013947,-0.069355593,PI614881,cq0081.00-5,145,4.67,1,1
128,-1.834503863,0.217749397,0.072991225,-0.051887494,PI614881,cq0081.00-6,145,3.14,1,1
129,-0.993129654,0.202322288,0.071094189,0.784215492,PI614881,cq0081.00-NA1,143,5.46,2,1
130,1.331451776,-1.050335728,-0.025342558,-0.452320686,PI614882,cq0082.00-1,123,21.36,2,2
131,1.430797421,-1.231864681,-0.102733588,-0.470587979,PI614882,cq0082.00-3,123,22.96,2,2
132,1.216583373,-0.840442877,0.06414082,-0.431199128,PI614882,cq0082.00-4,123,19.51,2,2
133,1.426451049,-1.22392279,-0.09934773,-0.469788785,PI614882,cq0082.00-5,123,22.89,2,2
134,1.011062069,-0.464904855,0.224243513,-0.393408665,PI614882,cq0082.00-6,123,16.2,2,2
135,0.860912934,-0.053391167,1.468069082,1.016381743,PI614883,cq0083.00-1,117,9.31,3,1
136,1.238426387,-0.743201189,1.173983169,0.946966029,PI614883,cq0083.00-3,117,15.39,3,1
137,0.934801258,-0.188403326,1.410509503,1.002795444,PI614883,cq0083.00-6,117,10.5,3,1
138,1.024212339,-0.351779384,1.340857577,0.98635488,PI614883,cq0083.00-NA1,117,11.94,3,1
139,2.91979299,-0.10660927,0.193735693,-0.388613575,PI614886 - QQ74a,cq0085.00-2,111,20.33,3,3
140,3.046458688,-0.338058685,0.095062131,-0.411904374,PI614886 - QQ74a,cq0085.00-4,111,22.37,3,3
141,3.07191601,-0.384575479,0.075230679,-0.416585368,PI614886 - QQ74a,cq0085.00-6,111,22.78,3,3
142,2.747179931,0.208797286,0.328202608,-0.356874154,PI614886 - QQ74a,cq0085.00-NA1,111,17.55,3,3
143,2.235419316,-0.509257889,0.835561575,0.198218218,PI614886 - QQ74b,cq0329.00-1,111,18.53,3,2
144,2.30992855,-0.645404604,0.777518303,0.184517749,PI614886 - QQ74b,cq0329.00-2,111,19.73,3,2
145,2.042316217,-0.156410986,0.985990389,0.233725269,PI614886 - QQ74b,cq0329.00-3,111,15.42,3,2
146,2.006303421,-0.090606741,1.014044637,0.240347163,PI614886 - QQ74b,cq0329.00-4,111,14.84,3,2
147,1.865977696,0.165802905,1.123359467,0.266149715,PI614886 - QQ74b,cq0329.00-5,111,12.58,3,2
148,2.487508891,-0.969887607,0.639181837,0.151864962,PI614886 - QQ74b,cq0329.00-6,111,22.59,3,2
149,1.81148628,1.113485903,-0.036759,0.024043172,PI614887,cq0086.00-1,123,9.87,3,3
150,1.869851847,1.006837643,-0.08222623,0.013311137,PI614887,cq0086.00-2,123,10.81,3,3
151,1.966092941,0.83098147,-0.15719879,-0.004385303,PI614887,cq0086.00-5,123,12.36,3,3
152,2.05115765,0.675547304,-0.223464859,-0.020026673,PI614887,cq0086.00-6,123,13.73,3,3
153,2.163542411,0.470192676,-0.311013462,-0.040691549,PI614887,cq0086.00-NA1,123,15.54,3,3
154,2.406939243,0.025446741,-0.500621484,-0.085446417,PI614887,cq0086.00-NA2,123,19.46,3,3
155,2.377076245,0.415452977,-0.021577047,-0.166982655,PI614889,cq0088.00-1,118,15.9,3,3
156,2.447239107,0.287248154,-0.076234462,-0.179883931,PI614889,cq0088.00-2,118,17.03,3,3
157,2.492565558,0.204425569,-0.111544119,-0.188218384,PI614889,cq0088.00-3,118,17.76,3,3
158,1.776656,1.512568587,0.446154989,-0.056579702,PI614889,cq0088.00-4,118,6.23,3,3
159,2.180868595,0.773972659,0.131270236,-0.130904751,PI614889,cq0088.00-5,118,12.74,3,3
160,2.73720421,-0.242589477,-0.30211953,-0.233201593,PI614889,cq0088.00-6,118,21.7,3,3
161,1.857054808,1.768187195,0.930460808,-0.175795922,PI614904,cq0092.00-3,112,3.83,3,3
162,-2.050320417,0.545011537,0.149957812,0.005201486,PI614928,cq0113.00-1,146,0.28,1,1
163,-1.950974772,0.363482584,0.072566782,-0.013065807,PI614928,cq0113.00-2,146,1.88,1,1
164,-2.054666789,0.552953429,0.153343669,0.00600068,PI614928,cq0113.00-5,146,0.21,1,1
165,2.192725195,0.416868546,-0.333747077,-0.046057566,PI634924,cq0127.00-2,123,16.01,3,3
166,2.176581527,0.446367001,-0.321171034,-0.043089131,PI634924,cq0127.00-6,123,15.75,3,3
167,1.902760092,0.946706177,-0.107862009,0.007260096,PI634924,cq0127.00-NA1,123,11.34,3,3
168,-2.03355584,0.514378526,0.136898075,0.00211888,PI643079,cq0129.00-1,146,0.55,1,1
169,-1.885158282,0.243219653,0.021295225,-0.025167889,PI643079,cq0129.00-NA1,146,2.94,1,1
170,-2.054045879,0.551818873,0.152859975,0.00588651,PI643079,cq0129.00-NA2,146,0.22,1,1
171,2.91386226,-0.967914251,-0.986674639,-0.161251995,PI665283,cq0137.00-1,124,28.24,3,3
172,2.330206592,0.098568347,-0.53200234,-0.053931648,PI665283,cq0137.00-2,124,18.84,3,3
173,2.332069323,0.095164679,-0.533453421,-0.054274159,PI665283,cq0137.00-3,124,18.87,3,3
174,2.523309691,-0.254278555,-0.682431154,-0.089438699,PI665283,cq0137.00-4,124,21.95,3,3
175,2.841215757,-0.835171204,-0.930082449,-0.147894037,PI665283,cq0137.00-5,124,27.07,3,3
176,2.735661008,-0.642296692,-0.84785448,-0.128485038,PI665283,cq0137.00-6,124,25.37,3,3
177,-1.797249246,0.149676039,0.043969589,-0.058737728,REAL,cq0335.00-1,145,3.74,1,1
178,-1.663753535,-0.094253491,-0.060024607,-0.083284404,REAL,cq0335.00-2,145,5.89,1,1
179,-1.656923522,-0.106733607,-0.06534524,-0.08454028,REAL,cq0335.00-3,145,6,1,1
180,-1.496107758,-0.400583599,-0.19062197,-0.114110461,REAL,cq0335.00-5,145,8.59,1,1
181,-1.721498191,0.011260213,-0.015041071,-0.072666539,REAL,cq0335.00-6,145,4.96,1,1
