Genotype,ID,Area,NormalizedArea
AMES13720,cq0004.00,4296,0.030935407
AMES13720,cq0004.00,4320,0.031108231
AMES13720,cq0004.00,4360,0.03139627
AMES13720,cq0004.00,4434,0.031929142
AMES13720,cq0004.00,4461,0.032123569
AMES13720,cq0004.00,4475,0.032224383
AMES13720,cq0004.00,4504,0.032433211
AMES13720,cq0004.00,4506,0.032447613
AMES13720,cq0004.00,4513,0.03249802
AMES13720,cq0004.00,4546,0.032735652
AMES13720,cq0004.00,4551,0.032771657
AMES13720,cq0004.00,4557,0.032814863
AMES13720,cq0004.00,4568,0.032894074
AMES13720,cq0004.00,4578,0.032966083
AMES13720,cq0004.00,4580,0.032980485
AMES13720,cq0004.00,4616,0.033239721
AMES13720,cq0004.00,4671,0.033635774
AMES13720,cq0004.00,4673,0.033650176
AMES13720,cq0004.00,4703,0.033866206
AMES13720,cq0004.00,4719,0.033981421
AMES13720,cq0004.00,4728,0.03404623
AMES13720,cq0004.00,4750,0.034204652
AMES13720,cq0004.00,4793,0.034514294
AMES13720,cq0004.00,4807,0.034615108
AMES13720,cq0004.00,4807,0.034615108
AMES13720,cq0004.00,4810,0.034636711
AMES13720,cq0004.00,4812,0.034651113
AMES13720,cq0004.00,4812,0.034651113
AMES13720,cq0004.00,4837,0.034831137
AMES13720,cq0004.00,4846,0.034895946
AMES13720,cq0004.00,4851,0.034931951
AMES13720,cq0004.00,4860,0.03499676
AMES13720,cq0004.00,4879,0.035133578
AMES13720,cq0004.00,4917,0.035407215
AMES13720,cq0004.00,4941,0.035580039
AMES13720,cq0004.00,4977,0.035839274
AMES13720,cq0004.00,4982,0.035875279
AMES13720,cq0004.00,4994,0.035961691
AMES13720,cq0004.00,5019,0.036141715
AMES13720,cq0004.00,5024,0.03617772
AMES13720,cq0004.00,5035,0.036256931
AMES13720,cq0004.00,5053,0.036386549
AMES13720,cq0004.00,5060,0.036436955
AMES13720,cq0004.00,5081,0.036588176
AMES13720,cq0004.00,5086,0.036624181
AMES13720,cq0004.00,5089,0.036645784
AMES13720,cq0004.00,5095,0.03668899
AMES13720,cq0004.00,5100,0.036724995
AMES13720,cq0004.00,5140,0.037013034
AMES13720,cq0004.00,5180,0.037301073
AMES13720,cq0004.00,5181,0.037308274
AMES13720,cq0004.00,5185,0.037337078
AMES13720,cq0004.00,5225,0.037625117
AMES13720,cq0004.00,5234,0.037689926
AMES13720,cq0004.00,5239,0.037725931
AMES13720,cq0004.00,5245,0.037769137
AMES13720,cq0004.00,5250,0.037805141
AMES13720,cq0004.00,5251,0.037812342
AMES13720,cq0004.00,5266,0.037920357
AMES13720,cq0004.00,5276,0.037992367
AMES13720,cq0004.00,5302,0.038179592
AMES13720,cq0004.00,5323,0.038330813
AMES13720,cq0004.00,5329,0.038374019
AMES13720,cq0004.00,5359,0.038590048
AMES13720,cq0004.00,5389,0.038806078
AMES13720,cq0004.00,5402,0.03889969
AMES13720,cq0004.00,5419,0.039022107
AMES13720,cq0004.00,5510,0.039677396
AMES13720,cq0004.00,5522,0.039763808
AMES13720,cq0004.00,5534,0.03985022
AMES13720,cq0004.00,5546,0.039936631
AMES13720,cq0004.00,5578,0.040167063
AMES13720,cq0004.00,5584,0.040210269
AMES13720,cq0004.00,5644,0.040642327
